site	domain	alexia	similarweb	type	country
Google Taiwan	google.com.tw	90	73	Search engine	Taiwan Taiwan
Booking.com	booking.com	91	59	Booking engine	Netherlands Netherlands
Google file storage	googleusercontent.com	92	N/A[notes 1]	File hosting service	United States U.S.
Google Australia	google.com.au	93	44	Search Engine	Australia Australia
PopAds	popads.net	94	N/A[notes 1]	Pop-up advertising	Costa Rica Costa Rica
CNTV	cntv.cn	95	3997	Television	China China
Zhihu	zhihu.com	96	208	Question and answer site	China China
Amazon UK	amazon.co.uk	97	58	E-commerce	United Kingdom UK
Diply	diply.com	98	458	Entertainment	Canada Canada
Cốc Cốc	coccoc.com	99	342	Search engine and web browser	Vietnam Vietnam
CNN	cnn.com	100	94	News	United States U.S.
BBC	bbc.co.uk	101	70	News	United Kingdom U.K.
Twitch	twitch.tv	102	80	Livestreams	United States U.S.
Wikia	wikia.com	103	68	Wikis	United States U.S.
Google Thailand	google.co.th	111	52	Search engine	Thailand Thailand
Google Argentina	google.com.ar	112	49	Search engine	Argentina Argentina
Go.com	go.com	118	90	Disney portal	United States U.S.
Google Netherlands	google.nl	119	61	Search engine	Netherlands Netherlands
eBay UK	ebay.co.uk	127	65	E-commerce	United Kingdom U.K.
KickassTorrents	kat.cr	137	77	Torrents	Costa Rica Costa Rica
Grupo Globo	globo.com	155	62	Search engine	Brazil Brazil
Google Ukraine	google.com.ua	163	71	Search engine	Ukraine Ukraine
Universo Online	uol.com.br	167	64	Portal	Brazil Brazil
Avito	avito.ru	170	98	E-commerce	Russia Russia
Google Colombia	google.com.co	182	75	Search engine	Colombia Colombia
Google Vietnam	google.com.vn	209	53	Search engine	Vietnam Vietnam
Google Philippines	google.com.ph	214	72	Search engine	 Philippines
DoubleClick	doubleclick.net	234	69	Ad serving	United States U.S.
Onet.pl	onet.pl	261	91	Web portal	Poland Poland
Google Ad Services	googleadservices.com	1319	40	Advertising	United States U.S.
AccuWeather	accuweather.com	331	81	Weather forecasting	United States U.S.
Google Web Light	googleweblight.com	30447	74	Webpage transcoder for slow connections	United States U.S.
Yahoo Answers	answers.yahoo.com	N/A[notes 2]	87	Question and answer site	United States U.S.
